CO2,Country of birth/nationality,Variable,Gender,Country,Value,Year,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Japan,384,2012,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Korea,384,2002,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Netherlands,381,2002,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,France,379,2005,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Italy,377,2007,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Belgium,374,2011,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Japan,370,2018,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Netherlands,363,2006,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Spain,363,2010,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Japan,360,2011,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Korea,359,2003,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Hungary,351,2012,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Korea,351,2018,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Belgium,350,2010,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Hungary,349,2014,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Denmark,348,2001,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,New Zealand,347,2017,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,New Zealand,340,2018,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Belgium,338,2014,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Norway,338,2005,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Finland,337,2017,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Japan,334,2014,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Finland,333,2012,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Netherlands,323,2004,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,New Zealand,321,2015,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,New Zealand,318,2016,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Spain,313,2004,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,New Zealand,309,2013,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Netherlands,307,2005,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Spain,304,2006,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Spain,297,2007,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Denmark,296,2009,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,New Zealand,294,2019,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Korea,293,2005,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Korea,293,2016,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Spain,291,2009,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Poland,289,2019,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Finland,282,2018,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Denmark,281,2006,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Spain,280,2008,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Hungary,279,2013,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Norway,279,2006,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Belgium,277,2009,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Japan,273,2013,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Korea,273,2019,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,New Zealand,271,2012,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Finland,268,2011,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,New Zealand,266,2010,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Spain,266,2005,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Finland,265,2015,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,New Zealand,264,2001,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,New Zealand,261,2011,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,New Zealand,259,2005,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,New Zealand,258,2000,,,,,,,,United States,Germany,Canada,Austria,Korea,Sweden
IRN,Iran,Inflows of foreign population by nationality,Total,Finland,257,2003,,,,,,,,8487,7753,5617,2466,1746,1106
IRN,Iran,Inflows of foreign population by nationality,Total,Finland,256,2001,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,New Zealand,255,2003,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Korea,253,2006,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Korea,253,2015,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Korea,250,2013,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Korea,243,2014,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Poland,243,2018,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Belgium,242,2008,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Korea,242,2008,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Czech Republic,241,2019,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Denmark,241,2003,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Finland,237,2002,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Spain,236,2000,,,,,,,,8487,7753,5617,2466,1746,1106
IRN,Iran,Inflows of foreign population by nationality,Total,Israel,234,2001,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Poland,233,2017,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Finland,232,2004,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Hungary,232,2007,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Finland,231,2008,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,New Zealand,230,2002,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Korea,229,2011,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Spain,223,2001,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Finland,221,2006,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Korea,217,2010,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Finland,215,2005,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Spain,212,2003,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Korea,211,2012,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Denmark,210,2008,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Finland,209,2010,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,New Zealand,206,2009,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Korea,203,2007,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Denmark,197,2005,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Poland,197,2016,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Denmark,193,2004,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,New Zealand,191,2008,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Czech Republic,189,2018,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Finland,189,2007,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Hungary,188,2005,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Israel,184,2007,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Israel,182,2002,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Poland,181,2015,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,New Zealand,178,2006,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Spain,177,2002,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Poland,174,2013,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,New Zealand,167,2004,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Finland,160,2000,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Estonia,154,2019,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,New Zealand,153,2007,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Korea,152,2009,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Finland,150,2009,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Israel,143,2004,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Poland,132,2012,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Denmark,130,2007,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Czech Republic,127,2017,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Poland,126,2011,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Israel,123,2005,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Israel,121,2003,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Poland,111,2010,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Luxembourg,95,2019,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Poland,89,2014,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Israel,82,2013,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Czech Republic,79,2010,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Luxembourg,79,2015,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Israel,76,2018,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Luxembourg,75,2018,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Israel,74,2006,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Czech Republic,73,2016,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Poland,73,2009,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Czech Republic,68,2007,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Poland,68,2008,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Estonia,68,2018,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Israel,67,2019,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Slovenia,67,2019,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Czech Republic,66,2015,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Czech Republic,64,2009,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Poland,64,2007,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Czech Republic,63,2014,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Luxembourg,59,2017,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Czech Republic,58,2013,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Luxembourg,55,2016,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Czech Republic,54,2008,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Luxembourg,50,2010,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Poland,49,2006,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Luxembourg,48,2012,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Israel,48,2008,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Israel,46,2011,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Israel,45,2009,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Iceland,44,2019,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Luxembourg,44,2005,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Poland,40,2005,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Iceland,39,2018,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Israel,39,2010,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Czech Republic,38,2006,,,,,,,,,0,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Israel,37,2012,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Czech Republic,35,2012,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Israel,35,2015,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Israel,34,2016,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Iceland,33,2016,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Estonia,33,2017,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Luxembourg,32,2006,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Luxembourg,32,2011,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Luxembourg,30,2008,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Mexico,30,2015,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Chile,29,2015,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Luxembourg,28,2007,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Luxembourg,28,2009,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Luxembourg,28,2013,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Mexico,28,2011,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Slovenia,28,2015,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Czech Republic,27,2011,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Israel,27,2014,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Czech Republic,26,2005,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Luxembourg,26,2004,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Mexico,26,2013,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Czech Republic,25,2003,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Estonia,25,2016,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Luxembourg,24,2003,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Slovenia,24,2018,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Mexico,23,2017,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Slovenia,23,2016,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Luxembourg,22,2014,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Estonia,22,2015,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Chile,21,2014,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Slovenia,21,2017,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Luxembourg,20,2000,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Mexico,20,2014,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Chile,20,2013,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Chile,20,2016,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Slovak Republic,19,2004,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Slovenia,19,2014,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Israel,18,2017,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Czech Republic,16,2004,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Iceland,16,2015,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Mexico,16,2016,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Luxembourg,15,2001,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Luxembourg,15,2002,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Mexico,15,2007,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Mexico,15,2012,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Mexico,12,2008,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Mexico,12,2010,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Mexico,12,2018,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Slovak Republic,12,2003,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Slovak Republic,12,2005,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Slovenia,12,2008,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Iceland,11,2012,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Mexico,11,2019,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Slovak Republic,11,2019,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Slovenia,11,2012,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Iceland,10,2011,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Iceland,10,2014,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Iceland,10,2017,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Mexico,10,2009,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Chile,10,2005,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Estonia,10,2013,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Latvia,10,2018,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Chile,9,2002,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Slovenia,9,2013,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Iceland,8,2007,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Chile,8,2000,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Slovenia,8,2011,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Iceland,7,2006,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Iceland,7,2013,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Slovak Republic,7,2006,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Slovak Republic,7,2010,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Slovak Republic,7,2015,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Chile,7,2006,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Chile,7,2007,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Chile,7,2012,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Slovenia,7,2010,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Iceland,6,2003,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Iceland,6,2010,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Chile,6,2008,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Chile,6,2011,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Latvia,6,2019,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Iceland,5,2008,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Slovak Republic,5,2018,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Chile,5,2001,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Chile,5,2009,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Estonia,5,2011,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Estonia,5,2012,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Estonia,5,2014,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Slovenia,5,2007,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Slovak Republic,4,2012,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Slovak Republic,4,2016,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Slovenia,4,2009,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Iceland,3,2009,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Slovak Republic,3,2009,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Slovak Republic,3,2013,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Slovak Republic,3,2014,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Slovak Republic,3,2017,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Chile,3,2004,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Estonia,3,2008,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Iceland,2,2001,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Iceland,2,2004,,,,,,,0,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Iceland,2,2005,,,,,,,0,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Slovak Republic,2,2008,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Chile,2,2010,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Estonia,2,2009,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Estonia,2,2010,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Latvia,2,2017,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Iceland,1,2000,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Iceland,1,2002,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Slovak Republic,1,2007,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Slovak Republic,1,2011,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Chile,1,2003,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Latvia,1,2014,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Denmark,0,2015,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Hungary,0,2001,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Hungary,0,2002,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Hungary,0,2003,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Hungary,0,2004,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Spain,0,2018,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Spain,0,2019,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Estonia,0,2004,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Estonia,0,2005,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Estonia,0,2006,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Estonia,0,2007,,,,,,,,,,,,,
